symbol,entry_time,exit_time,entry_price,exit_price,duration,duration_hours,entry_equity_before,exit_equity_after,gross_price_return_pct,net_trade_return_pct,net_pnl_cash,entry_fee_cash,exit_fee_cash,total_fee_cash,exit_reason,result
BTC/USDT,2025-08-07 12:00:00+00:00,2025-08-14 16:00:00+00:00,116390.0,117866.42,7d 4h,172,1165.787398036971,1178.2155693852085,1.2685110404673905,1.0660752868975054,12.428171348237584,1.1657873980369708,1.179394964349558,2.345182362386529,confirmed_regime_off,win
BTC/USDT,2025-09-13 04:00:00+00:00,2025-09-15 16:00:00+00:00,115698.4,114662.57,2d 12h,60,1178.2155693852085,1165.333019700766,-0.8952846366068856,-1.0933949626182993,-12.882549684442438,1.1782155693852085,1.166499519219986,2.3447150886051946,confirmed_regime_off,loss
BTC/USDT,2025-09-15 20:00:00+00:00,2025-09-17 20:00:00+00:00,115379.99,115621.47,2d 0h,48,1165.333019700766,1165.4375813458091,0.20929105644746926,0.008972683625652067,0.10456164504307708,1.165333019700766,1.1666041855313405,2.331937205232107,confirmed_regime_off,win
BTC/USDT,2025-09-18 00:00:00+00:00,2025-09-19 16:00:00+00:00,116350.65,116088.68,1d 16h,40,1165.4375813458091,1160.489069154804,-0.2251555964663754,-0.4246055104290325,-4.948512191005193,1.165437581345809,1.1616507198746786,2.3270883012204875,confirmed_regime_off,loss
BTC/USDT,2025-10-02 04:00:00+00:00,2025-10-07 16:00:00+00:00,118662.04,121684.17,5d 12h,132,1160.489069154804,1187.6659468265989,2.5468380621132214,2.341846932827041,27.176877671794955,1.160489069154804,1.188854801628227,2.3493438707830308,confirmed_regime_off,win
BTC/USDT,2025-10-08 12:00:00+00:00,2025-10-08 16:00:00+00:00,122631.52,123051.03,0d 4h,4,1187.6659468265989,1189.346565714511,0.3420898640088543,0.14150602637068577,1.6806188879120327,1.1876659468265989,1.1905371028173284,2.3782030496439273,confirmed_regime_off,win
BTC/USDT,2025-10-08 20:00:00+00:00,2025-10-09 04:00:00+00:00,122856.69,122144.7,0d 8h,8,1189.346565714511,1180.090233414869,-0.5795288803564613,-0.7782704021246367,-9.256332299641826,1.189346565714511,1.1812715049197888,2.3706180706342996,confirmed_regime_off,loss
BTC/USDT,2025-10-09 12:00:00+00:00,2025-10-09 16:00:00+00:00,123563.38,119819.77,0d 4h,4,1180.090233414869,1142.0494119249754,-3.0297083164931182,-3.2235519295684356,-38.04082148989369,1.180090233414869,1.1431926045295049,2.323282837944374,confirmed_regime_off,loss
BTC/USDT,2026-01-05 20:00:00+00:00,2026-01-07 12:00:00+00:00,94177.99,91997.86,1d 16h,40,1142.0494119249754,1113.3819565870476,-2.3149039388077886,-2.5101764458341114,-28.667455337927777,1.1420494119249753,1.1144964530400878,2.256545864965063,confirmed_regime_off,loss
BTC/USDT,2026-01-12 04:00:00+00:00,2026-01-12 12:00:00+00:00,92175.78,90789.37,0d 8h,8,1113.3819565870476,1094.443475263632,-1.5040935916137643,-1.700986908524138,-18.938481323415544,1.1133819565870477,1.09553901427791,2.2089209708649578,confirmed_regime_off,loss
BTC/USDT,2026-01-12 16:00:00+00:00,2026-01-16 16:00:00+00:00,92123.52,94872.55,4d 0h,96,1094.443475263632,1124.8493530762587,2.9840696490972096,2.7782044938686745,30.405877812626613,1.094443475263632,1.1259753284046634,2.2204188036682955,confirmed_regime_off,win
BTC/USDT,2026-01-16 20:00:00+00:00,2026-01-19 00:00:00+00:00,95553.6,92711.02,2d 4h,52,1124.8493530762587,1089.205046112662,-2.9748539039868738,-3.168807171032806,-35.64430696359659,1.1248493530762587,1.090295341454116,2.215144694530375,confirmed_regime_off,loss
BTC/USDT,2026-03-16 16:00:00+00:00,2026-03-18 12:00:00+00:00,73760.63,72361.24,1d 20h,44,1089.205046112662,1066.4045861822929,-1.8972045114039826,-2.0933119995856897,-22.800459930369243,1.0892050461126621,1.0674720582405335,2.1566771043531956,confirmed_regime_off,loss
BTC/USDT,2026-04-10 00:00:00+00:00,2026-04-12 04:00:00+00:00,71963.03,71466.53,2d 4h,52,1066.4045861822929,1056.9300249318114,-0.6899375971245236,-0.8884584118678762,-9.474561250481429,1.0664045861822928,1.0579880129447563,2.124392599127049,confirmed_regime_off,loss
BTC/USDT,2026-04-13 16:00:00+00:00,2026-04-19 08:00:00+00:00,72202.36,75257.6,5d 16h,136,1056.9300249318114,1099.4517707210227,4.231496034201654,4.023137273629307,42.52174578921131,1.0569300249318114,1.1005523230440668,2.1574823479758782,confirmed_regime_off,win
BTC/USDT,2026-04-19 12:00:00+00:00,2026-04-19 20:00:00+00:00,75571.6,74630.0,0d 8h,8,1099.4517707210227,1083.5825036084684,-1.2459707085730742,-1.4433800131266494,-15.869267112554326,1.0994517707210227,1.0846671707792477,2.1841189415002704,confirmed_regime_off,loss
BTC/USDT,2026-04-20 12:00:00+00:00,2026-04-21 20:00:00+00:00,75289.9,75698.51,1d 8h,32,1083.5825036084684,1087.285437340748,0.542715556801121,0.3417306684030397,3.702933732279689,1.0835825036084685,1.0883738111519001,2.1719563147603687,confirmed_regime_off,win
BTC/USDT,2026-04-22 00:00:00+00:00,2026-04-25 16:00:00+00:00,76370.45,77397.27,3d 16h,88,1087.285437340748,1099.701558190801,1.3445252712273037,1.141937565210105,12.416120850052948,1.0872854373407481,1.1008023605513524,2.1880877978921003,confirmed_regime_off,win
BTC/USDT,2026-04-26 00:00:00+00:00,2026-04-27 08:00:00+00:00,77502.4,77804.34,1d 8h,32,1099.701558190801,1101.7789950465635,0.38958793534136227,0.18890914905860257,2.077436855762471,1.0997015581908012,1.102881876923487,2.2025834351142883,confirmed_regime_off,win
BTC/USDT,2026-04-27 12:00:00+00:00,2026-04-27 16:00:00+00:00,77667.36,76618.59,0d 4h,4,1101.7789950465635,1084.728565547401,-1.3503355849870613,-1.5475362641526713,-17.05042949916242,1.1017789950465635,1.0858143799273285,2.187593374973892,confirmed_regime_off,loss
BTC/USDT,2026-05-01 12:00:00+00:00,2026-05-07 16:00:00+00:00,77896.01,79801.08,6d 4h,148,1084.728565547401,1109.035913109919,2.4456579996844585,2.2408691293430927,24.30734756251786,1.084728565547401,1.110146059169088,2.1948746247164888,confirmed_regime_off,win
BTC/USDT,2026-05-09 04:00:00+00:00,2026-05-09 08:00:00+00:00,80379.9,80407.12,0d 4h,4,1109.035913109919,1107.1937655635686,0.0338641874398915,-0.1661035070708139,-1.8421475463503612,1.109035913109919,1.1083020676311999,2.217337980741119,confirmed_regime_off,loss
BTC/USDT,2026-05-09 12:00:00+00:00,2026-05-12 08:00:00+00:00,80397.97,80843.31,2d 20h,68,1107.1937655635686,1111.1011871455544,0.5539194584141871,0.35291217341679726,3.9074215819857727,1.1071937655635686,1.1122134005461006,2.2194071661096695,confirmed_regime_off,win
BTC/USDT,2026-05-13 04:00:00+00:00,2026-05-13 12:00:00+00:00,81231.96,80202.78,0d 8h,8,1111.1011871455544,1094.8309800186657,-1.2669643819994136,-1.464331720199774,-16.270207126888636,1.1111011871455545,1.0959269069255912,2.2070280940711458,confirmed_regime_off,loss
BTC/USDT,2026-05-15 04:00:00+00:00,2026-05-15 16:00:00+00:00,80724.71,79294.31,0d 12h,12,1094.8309800186657,1073.2813559418992,-1.7719481432637019,-1.9683060189253254,-21.549624076766577,1.0948309800186657,1.074355711653553,2.169186691672219,confirmed_regime_off,loss
